Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
176444106,Abundance,Ezra Klein,"Klein, Ezra",Derek   Thompson,"=""1668023482""","=""9781668023488""",0,3.94,Avid Reader Press / Simon & Schuster,Hardcover,304,2025,2025,,2026/01/07,currently-reading,currently-reading (#2),currently-reading,,,,1,0
35036409,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",0,4.05,Penguin Random House ,Paperback,331,2012,2011,,2026/01/07,currently-reading,currently-reading (#1),currently-reading,,,,1,0
53285047,"Bunny (Bunny, #1)",Mona Awad,"Awad, Mona",,"=""0525559752""","=""9780525559757""",3,3.46,Penguin Books,Paperback,305,2020,2019,2026/01/03,2026/01/03,,,read,,,,1,0
227786644,Art Work: On the Creative Life,Sally Mann,"Mann, Sally",,"=""1419780719""","=""9781419780714""",0,4.23,Abrams Press,Hardcover,264,2025,2025,,2026/01/02,to-read,to-read (#99),to-read,,,,0,0
869603,The Return of the Light: Twelve Tales from Around the World for the Winter Solstice,Carolyn McVickar Edwards,"Edwards, Carolyn McVickar",,"=""1569246173""","=""9781569246177""",0,3.80,Da Capo Press,Paperback,178,2000,2000,2025/12/21,2026/01/02,,,read,,,,1,0
38088980,Don Quixote (Penguin Clothbound Classics),Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes",John Rutherford,"=""0241347769""","=""9780241347768""",0,3.91,Penguin Classics,Hardcover,1056,2018,1615,,2024/03/03,to-read,to-read (#98),to-read,,,,1,0
37652218,All About Love: New Visions,bell hooks,"hooks, bell",,"=""0062862170""","=""9780062862174""",3,4.01,William Morrow Paperbacks,Kindle Edition,272,2018,1999,2025/12/30,2025/12/13,,,read,"This has been on my TBR for a while, but I finally picked it up up when I saw in an interview that if was a large inspiration for Olivia Dean’s sophomore album “The Art of Loving”. ",,,1,0
18809,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""1400041910""","=""9781400041916""",3,4.17,Everyman's Library,Hardcover,126,2004,1864,2025/12/29,2025/11/11,,,read,"I had a really hard time with this. It is definitely not the type of book to be read in short increments before bed (which is how I read it). I'll definitely have to try again! I loved Dostoevsky's <I>Crime and Punishment</I> — it ranks among my all-time favorites, but I think this was much less approachable and more difficult even though it was shorter.",,,1,0
220160852,"Maggie; or, A Man and a Woman Walk Into a Bar",Katie Yee,"Yee, Katie",,"=""166808421X""","=""9781668084212""",3,3.36,S&S/Summit Books,Hardcover,208,2025,2025,2025/11/26,2025/11/19,,,read,"I'm on a coincidental streak of books with unnamed protagonists — du Maurier's <I>Rebecca</I>, Dostoevsky's <I>Notes from Underground</I>, and now Yee's <I>Maggie; or a Man and a Woman Walk Into a Bar</I>.<br/><br/>Of the three, I think Yee makes the lack of a protagonist name feel most seamless, which is high praise given the comparisons.<br/><br/>The narrator's husband leaves her for a woman named Maggie, then she gets diagnosed with cancer (and names her tumor Maggie). Through it all she maintains this remarkable composure: rationalizing, staying generous to her ex, never telling him about the diagnosis because she doesn't want to ""trap him."" She privately fantasizes about how guilty he'll feel when he finds out, but she never acts on her anger or hurt.<br/><br/>Her narration is smart and funny. I identified a lot with the narrator and wondered if I would maintain this level-headedness and restraint in the same scenario. But it also makes me wonder if this restraint is something I would actually want to have in this situation. Wouldn't it be more satisfying to live out the revengeful fantasy of hurting the partner who hurt you back?<br/><br/>Maybe her lack of emotional outburst is more powerful and easier to fixate on because of her anonymity. Is it because her reaction takes up so little space that she's undeserving of a name?",,,1,0
24178,Charlotte’s Web,E.B. White,"White, E.B.","Garth Williams, Rosemary Wells","=""0064410935""","=""9780064410939""",3,4.21,HarperCollinsPublishers,Paperback,184,2001,1952,2025/01/28,2023/09/02,,,read,"<blockquote>""These autumn days will shorten and grow cold. The leaves will shake loose from the trees and fall. Christmas will come, then the snows of winter. You will live to enjoy the beauty of the frozen world, for you mean a great deal to Zuckerman and he will not harm you, ever. Winter will pass, the days will lengthen, the ice will melt in the pasture pond. The song sparrow will return and sing, the frogs will awake, the warm wind will blow again. All these sights and sounds and smells will be yours to enjoy, Wilbur — this lovely world, these precious days …""</blockquote><br/>I have to admit that I've never really understood the magic of Charlotte's Web. It was not a beloved book to me as a child and is still not as an adult.<br/><br/>Reading it this time around, I was surprised by just how Christian a story it is. Although nobody goes as far as mentioning ""God"" when the Zuckermans awake to see the words woven into the web, they use terms like ""miracle"" and ""wonder."" They consult their minister, who delivers a sermon.<br/><br/>But really it is Charlotte who embodies a sort of saintliness: spending her little time on this earth in service of Wilbur. Charlotte, who never sought glory and never begrudged Wilbur the honor that her incredible webs brought him. That White writes Charlotte to credit the act of procreation as her finest work, above her miraculous webs, reveals quite a religious sensibility.",,,1,0
