Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Margo's Got Money Troubles,Rufi Thorpe,"",9780063356580,hardcover,read,2024/11/22,2025/02/09,2025/02/09,1,"",,,,,,,4.0,"I'm typically a fan of book to tv series adaptions, and before this was novel was even published it was  green lit for and upcoming Apple TV (i.e. $$$) series adaptation staring Elle Fanning, Nick Offerman &amp; Michelle Pfeiffer (with other big names - Nicole Kidman signed on as EPs). <br><br>The cover &amp; synopsis seems a bit cheesy, but the book is very much not. Totally worth the read.","",,"",No
Someone To Talk To,Mario Luis Small,"",9780190661441,digital,read,2023/01/04,2023/03/22,2023/03/22,1,"",,,,,,,3.0,"“Amid a growing wave of big data and large-scale network analysis, Small returns to the basic questions of whom we connect with, how, and why, upending decades of conventional wisdom on how we should think about and analyze social networks.”<br> <br>Was at times repetitive, but overall Small provides a well detailed and insightful account of his social network research that - in many ways - flips conventional wisdom on its head.","",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2024/01/04,"","",1,"",,,,,,,,,"",,"",No
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,2024/01/04,"","",1,"",,,,,,,,,"",,"",No
Dragonfly in Amber,Diana Gabaldon,"",9780385302319,hardcover,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
The War of the Roses,Warren Adler,"",9781402201950,paperback,to-read,2025/11/20,"","",0,"",,,,,,,,,"",,"",No
Love in the Time of Cholera,Gabriel García Márquez,Edith Grossman (Translator),9781400034680,paperback,read,2024/06/23,2024/12/14,2024/12/14,1,"",,,,,,,5.0,"I loved this book - so much so that I don't know what to say about it. Maybe I'll write a review when I read it again, since I will absolutely be reading it again.","",,favorites,No
Twenty Thousand Leagues Under the Sea,Jules Verne,David Coward (Translator),9780241198773,hardcover,to-read,2022/08/07,"","",0,"",,,,,,,,,"",,"",No
The Stranger,Albert Camus,"","",audio,read,2024/11/22,2025/09/16,2025/09/16,1,"",,,,,,,2.0,"It’s a peculiar little book, and I don’t think I was in the right headspace to fully “get” it.<br><br>Camus presents an existentialist take on life through the story of Meursault, a man condemned less for his actions than for his lack of conventional emotions toward them. His trial isn’t really about guilt or innocence, it’s about whether he conforms to the emotional expectations society demands.<br><br>I’m a bit surprised this novel appears often on high school syllabi. On the surface, its brevity and simple style make it accessible, but I feel like most high schoolers today would be quick to read Meursault as neurodivergent — someone with autism or Asperger’s — rather than character meant to illustrate Camus’ ideas about absurdity and the human condition.","",,"",No
My Antonia: Introduction by Jane Smiley,Willa Cather,"",9780525562863,paperback,read,2024/06/04,2024/06/12,2024/06/12,1,"",,,,,,,5.0,"“There seemed to be nothing to see; no fences, no creeks or trees, no hills or fields. If there was a road, I could not make it out in the faint starlight. There was nothing but land: not a country at all, but the material out of which countries are made.”<br><br>My Ántonia by Willa Cather is like Little House on the Prairie but for grown-ups. As a “classic”, I think it is extremely accessible and engaging.<br><br>Cather’s writing exudes nostalgia and she has a wonderful ability to make the mundane seem magical. Her vivid descriptions of the Nebraskan landscape and the pioneer life capture the essence of a bygone era, transporting readers to a simpler time.<br>","",,"",No
Kingdom of Ash,Sarah J. Maas,"",9781639731060,hardcover,read,2023/09/01,"","",1,"",,,,,,,,,"",,"",No
The Two Gentlemen of Verona,William Shakespeare,"Barbara A. Mowat, Paul Werstine",9780671722951,paperback,read,2025/06/07,2025/06/07,2025/06/07,1,"",,,,,,,1.0,I did not like this one. Plus the ending was awful.,"",,"",No
Of Orcas and Men: What Killer Whales Can Teach Us,David Neiwert,"",9781468308655,hardcover,to-read,2025/11/14,"","",0,"",,,,,,,,,"",,"",No
